t	cumloss	loss
1	0.0	1661.557861328125
50	337564.873046875	1325.56884765625
100	376021.03479003906	615.02587890625
150	410038.58532714844	573.0516357421875
200	434645.8998413086	534.9822998046875
250	460621.46405029297	456.5417785644531
300	484229.2785644531	492.9279479980469
350	507074.82305908203	435.2417297363281
400	529506.121307373	446.40411376953125
450	551296.1440734863	438.263427734375
500	573197.2403564453	430.0761413574219
550	594676.4175109863	432.494140625
600	616172.4500732422	427.39666748046875
650	637613.104095459	428.87274169921875
700	658964.9326477051	426.6768798828125
750	680320.3305969238	426.6575927734375
800	701646.2640686035	426.81536865234375
850	722969.8270263672	425.9712219238281
900	744273.0688171387	426.1858825683594
950	765576.6687316895	426.0472412109375
999	786454.3755493164	425.9776611328125
