t	cumloss	loss
0	0.0	0.0
50	541638.5614624023	10252.89453125
100	1086369.5077514648	11445.8779296875
150	1704993.0145874023	12684.0400390625
200	2374624.8544311523	14696.802734375
250	3124942.3095092773	14793.2060546875
300	3873340.6884155273	14908.0380859375
350	4635464.026306152	15391.591796875
400	5430957.749938965	16033.16015625
450	6230799.200134277	16148.7265625
500	7022321.136657715	16021.724609375
550	7814154.996032715	16098.9365234375
600	8622833.133728027	16202.45703125
650	9450392.746032715	16496.6640625
700	10274525.54876709	16661.7734375
750	11112366.16204834	16446.16015625
800	11938464.054626465	16613.857421875
850	12774505.46282959	16966.220703125
900	13610804.21673584	16801.486328125
950	14448519.84173584	16887.650390625
999	15275276.535095215	16894.896484375
