t	cumloss	loss
1	0.0	1649.9224853515625
50	336127.9803466797	1367.917724609375
100     457775.9415283203       1418.00634765625
150     532437.8526611328       1422.4683837890625
200     604401.6524658203       1609.661865234375
250     693065.3020019531       1902.17333984375
300     800148.1217041016       2421.18603515625
350     933030.5103759766       2969.9052734375
400     1100523.166381836       3768.81884765625
450     1313298.0162353516      4774.18310546875
500     1582147.6114501953      6056.8125
550     1923163.0225830078      7728.69140625
600     2355176.077270508       9627.7294921875
650     2883786.6173095703      11567.03125
700     3501734.948364258       13233.0146484375
750     4199430.61340332        14614.1826171875
800     4957145.713989258       15587.052734375
850     5752590.880004883       16168.9140625
900     6578511.81262207        16791.17578125
950     7427499.095825195       17206.61328125
999     8281940.42590332        17709.244140625
