p	err
0.	0.0012925483295368827
0.01	0.0013104360947503281
0.02	0.0013321251567199825
0.03	0.0013589064398526324
0.04	0.0013927252893831728
0.05	0.0014366556848888399
0.06	0.0014958564017207494
0.07	0.0015796967399794252
0.08	0.0017071469779384267
0.09	0.0019232899370715362
0.1	0.0023677111106684173
0.11	0.0037934074951871057
0.12	0.027102774522849867
0.13	0.0012546115050667613
0.14	0.0002470563305444425
0.15	0.00031368668024542794
0.16	0.000480589167194511
0.17	0.0005898909167361975
0.18	0.0006643628098219033
0.19	0.0007178180304913411
0.2	0.0007577732190964684
0.21	0.0007885654683837516
0.22	0.0008128532273969645
0.23	0.000832351086410051
0.24	0.0008482121232346404
0.25	0.000861238987025748
0.26	0.0008720065986664941
0.27	0.0008809366889279581
0.28	0.0008883448178143097
0.29	0.0008944710104267292
0.3	0.0008995002832820296
0.31	0.0009035767331995875
0.32	0.0009068134109802683
0.33	0.0009092993649768215
0.34	0.0009111047403388057
0.35000000000000003	0.000912284513640425
0.36	0.000912881249621985
0.37	0.0009129271426104884
0.38	0.0009124455229707334
0.39	0.0009114519535894532
0.4	0.0009099550031712347
0.41000000000000003	0.0009079567556796232
0.42	0.000905453095503582
0.43	0.000902433792114927
0.44	0.0008988823957238361
0.45	0.0008947759439356204
0.46	0.0008900844688041668
0.47000000000000003	0.0008847702821068869
0.48	0.0008787870035869539
0.49	0.0008720782808422841
0.5	0.0008645761287827314
0.51	0.0008561987892619988
0.52	0.0008468479739423344
0.53	0.000836405301438956
0.54	0.0008247276658556745
0.55	0.0008116411677405206
0.56	0.000796933083480755
0.5700000000000001	0.0007803411192910175
0.58	0.0007615388514565498
0.59	0.0007401157312280885
0.6	0.0007155492338285007
0.61	0.0006871655172711668
0.62	0.0006540831747564233
0.63	0.0006151323522803293
0.64	0.0005687399425194059
0.65	0.0005127784243035115
0.66	0.0004444329523082951
0.67	0.00036050412973170004
0.68	0.0002612604554466265
0.6900000000000001	0.0001855396569861005
0.7000000000000001	0.0003037366477642406
0.71	0.0006725136640543517
0.72	0.001415916502700511
0.73	0.0033206836707649918
0.74	0.01744800908214069
0.75	0.009565387314164247
0.76	0.0045564835741194985
0.77	0.003277246432682759
0.78	0.0026926992227142995
0.79	0.0023580693125645658
0.8	0.0021414536078592757
0.81	0.0019898674870154186
0.8200000000000001	0.0018779066461197076
0.8300000000000001	0.0017918697415022454
0.84	0.0017237162941007174
0.85	0.0016684173315601092
0.86	0.0016226664680337032
0.87	0.0015842007047073483
0.88	0.001551419064855936
0.89	0.0015231570817767315
0.9	0.0014985475760943105
0.91	0.0014769315145932327
0.92	0.0014577991234258033
0.93	0.001440749918570356
0.9400000000000001	0.001425464924666956
0.9500000000000001	0.001411686956254359
0.96	0.0013992063578521462
0.97	0.001387850517925317
0.98	0.0013774760407367866
0.99	0.0013679628222447436
1.	0.0013592095107452693
