p	err
0.0	0.014326054659983696
0.063	0.015046662282129716
0.118	0.015799460637379505
0.167	0.016596693280753503
0.211	0.017443856210574895
0.25	0.018327882864466852
0.285	0.019256781714236542
0.317	0.020247910193317634
0.346	0.021293351115836325
0.372	0.02237957260166752
0.396	0.023537862124543698
0.418	0.024762352583027267
0.438	0.026042414482786432
0.456	0.027361468565862766
0.473	0.028785102389996008
0.489	0.03031795302607626
0.503	0.03184621861089582
0.516	0.033454864976429216
0.528	0.03513499831646781
0.54	0.037041476632344666
0.551	0.039029554565263705
0.561	0.04107841440035577
0.57	0.04315887510845264
0.579	0.04550845750063471
0.587	0.04786769387954315
0.595	0.05053344832435684
0.602	0.0531672139320367
0.609	0.05613879511776128
0.615	0.05900687045100645
0.621	0.06222920934470058
0.627	0.06587576993013464
0.632	0.06930257449771329
0.637	0.07315165576218362
0.642	0.07750619267604202
0.646	0.08142436608256681
0.65	0.08580248127762478
0.654	0.09072657450410869
0.658	0.09630556744693987
0.662	0.10267941864030466
0.665	0.10808938735334596
0.668	0.11414659965809924
0.671	0.12097459917477865
0.674	0.12873050808023398
0.677	0.13761726689778783
0.68	0.14790164915009943
0.682	0.1557061873272847
0.684	0.16442484989815973
0.686	0.17422823074113392
0.688	0.1853321877597384
0.69	0.19801392195188428
0.692	0.21263543476615243
0.694	0.22967864085349857
0.696	0.24979950275715565
0.698	0.2739144031860025
0.699	0.28786066071382094
0.7	0.3033436200963604
0.701	0.32063207807094823
0.702	0.34006140271422636
0.703	0.36205550287809535
0.704	0.38715811269616157
0.705	0.4160783494140934
0.706	0.4497587672504775
0.707	0.4894800292182217
0.708	0.5370274484369224
0.709	0.5949667261395932
0.71	0.6671226646056114
0.711	0.7594595467608863
0.712	0.8818202972277601
0.713	1.0516914969489446
0.714	1.3034106140709452
0.715	1.714905816055273
0.716	2.50902733814505
0.717	4.683151473939733
0.718	350.672975979819164
0.719	6.331599922742797
0.72	2.903756107513793
0.721	1.882175399625467
0.722	1.3914098607440184
0.723	1.1030593669752746
0.724	0.9133053841982136
0.725	0.7789612934927024
0.726	0.6788489156880625
0.727	0.6013631019885552
0.728	0.5396118843451958
0.729	0.48924432286684016
0.73	0.44737826073288905
0.731	0.4120287733029762
0.732	0.3817842365662093
0.733	0.35561328494520256
0.734	0.33274484915322916
0.735	0.31259091281950624
0.736	0.294695234581269
0.737	0.27869839283453895
0.738	0.2643133967814089
0.74	0.23949368117376232
0.742	0.21883675902034325
0.744	0.20137637775571393
0.746	0.18642385285547325
0.748	0.17347507741844453
0.75	0.1621525683737251
0.752	0.15216805815220186
0.754	0.14329760828826427
0.756	0.1353646132161049
0.758	0.1282279222353849
0.76	0.12177336743787395
0.763	0.11317091480165059
0.766	0.10564716094321903
0.769	0.09901118236342418
0.772	0.09311460189979819
0.775	0.08784036260278243
0.778	0.08309487794045557
0.781	0.07880243018679753
0.785	0.07367847048544154
0.789	0.06913308943639783
0.793	0.06507352784800267
0.797	0.061425849154048626
0.801	0.058130395580491545
0.805	0.055138499961217176
0.81	0.05176508997164506
0.815	0.048739997861265066
0.82	0.04601192455802865
0.825	0.043539173144160684
0.83	0.0412875026265121
0.836	0.03883770443800346
0.842	0.03662527461421638
0.848	0.034617308630989774
0.854	0.032786715096915726
0.86	0.03111098632033201
0.867	0.02932671694015673
0.874	0.02770273216261118
0.881	0.026218362780141415
0.888	0.02485634695372948
0.895	0.023602155864738083
0.903	0.02228511131179113
0.911	0.0210773407795361
0.919	0.019965786960141042
0.927	0.01893939320267263
0.935	0.017988734472275336
0.944	0.016999749864757895
0.953	0.016086570495247525
0.962	0.015240803105892724
0.971	0.014455249463254603
0.98	0.013723700988905345
0.99	0.012967685184532018
1.0	0.012265322279116983
1.0	0.012265322279116983
