p	err
0.0	0.00491344308116874
0.082	0.00466760661770093
0.144	0.004432267103830395
0.193	0.004206685027347877
0.232	0.003994396822479412
0.264	0.0037927644702210974
0.291	0.003598942967098268
0.314	0.0034132325167924283
0.334	0.0032335075172585616
0.351	0.0030652054097569047
0.366	0.002903084148617708
0.379	0.002750871230301523
0.39	0.0026125690951986566
0.4	0.0024784658833710894
0.409	0.002350290477751853
0.417	0.0022298718225997817
0.425	0.002102830342029615
0.432	0.0019858023376860554
0.438	0.0018808115846061326
0.444	0.001771205987730162
0.449	0.0016761262436430972
0.454	0.0015774469783019788
0.458	0.0014957800150960066
0.462	0.0014115782707476655
0.466	0.0013247330485532682
0.469	0.001257797737590426
0.472	0.0011892663759432286
0.475	0.0011190931365930093
0.478	0.0010472345824769232
0.481	0.0009736519434142595
0.483	0.000923623506824081
0.485	0.0008728092375475423
0.487	0.0008212074057263415
0.489	0.0007688221486430514
0.491	0.0007156662113085247
0.493	0.0006617651730520907
0.495	0.000607164164438573
0.497	0.0005519389178042576
0.498	0.0005241286374792825
0.499	0.0004962146882351528
0.5	0.0004682259757047251
0.501	0.00044020017192668905
0.502	0.0004121867887113968
0.503	0.0003842515591660154
0.504	0.0003564827748092063
0.505	0.00032900057391180813
0.506	0.0003019706987162238
0.507	0.00027562496220295384
0.508	0.00025029145903970033
0.509	0.00022643771042256264
0.51	0.00020472702492205173
0.511	0.00018607609227194648
0.512	0.0001716697022239277
0.513	0.0001628390359299723
0.516	0.0001775742176458088
0.517	0.0001951080294166802
0.518	0.0002171558871408076
0.519	0.00024264970163169098
0.52	0.00027076520928413414
0.521	0.0003009052651833343
0.522	0.00033264773690902077
0.523	0.00036569545222694423
0.524	0.00039983798462583193
0.525	0.0004349248239800416
0.526	0.0004708471146036359
0.527	0.0005075253128702445
0.528	0.0005449008077447517
0.529	0.0005829301732133588
0.53	0.0006215811746233055
0.531	0.0006608299547473653
0.532	0.0007006590228922485
0.533	0.0007410557980533259
0.534	0.0007820115395107314
0.535	0.0008235205521236488
0.536	0.0008655795889351757
0.538	0.0009513443707185686
0.54	0.0010393140596970235
0.542	0.0011295158581404376
0.544	0.0012219911180209701
0.546	0.0013167922776291755
0.548	0.001413980911054782
0.55	0.0015136264843018596
0.552	0.0016158055751245993
0.554	0.0017206014073005216
0.556	0.0018281036053926618
0.558	0.0019384081097706472
0.56	0.002051617212676186
0.562	0.0021678396896705108
0.564	0.0022871910097049092
0.566	0.0024097936129909995
0.568	0.0025357772501171617
0.57	0.002665279378717331
0.573	0.002866450636934864
0.576	0.003076396802892792
0.579	0.0032956948873318183
0.582	0.0035249754313452565
0.585	0.0037649284601943595
0.588	0.0040163103487943115
0.591	0.004279951736677656
0.594	0.004556766663027946
0.597	0.0048477631310056704
0.6	0.00515405535710036
0.603	0.0054768780183140475
0.606	0.005817602880551374
0.609	0.00617775828023045
0.612	0.006559052042209788
0.615	0.006963398559144731
0.618	0.007392950938018266
0.621	0.007850139353294662
0.624	0.008337717049027802
0.627	0.00885881582907606
0.63	0.009417013398274231
0.633	0.010016415615044245
0.636	0.01066175765409689
0.639	0.011358529352402362
0.642	0.012113131762028662
0.645	0.012933074365705425
0.648	0.0138272258341231
0.651	0.014806136086407372
0.654	0.015882454484528248
0.657	0.017071479391988255
0.659	0.01793583483565161
0.661	0.018865057710800007
0.663	0.019866734272207108
0.665	0.020949681746920894
0.667	0.022124208565657322
0.669	0.023402443525538354
0.671	0.02479875616957555
0.673	0.02633029930205104
0.675	0.02801771714527685
0.677	0.029886081304187934
0.679	0.031966144880065696
0.681	0.03429604847821433
0.683	0.03692368021631741
0.685	0.03991000219453287
0.687	0.043333838996763005
0.689	0.047298937160568086
0.691	0.05194465997839884
0.692	0.05457997563305323
0.693	0.0574627067280375
0.694	0.060629411936998834
0.695	0.06412422573602494
0.696	0.06800092797088424
0.697	0.07232573107418648
0.698	0.07718109307182439
0.699	0.08267102560574217
0.7	0.08892862865295087
0.701	0.0961270236334109
0.702	0.10449561849840366
0.703	0.11434500695903378
0.704	0.12610636808358655
0.705	0.14039627715781905
0.706	0.1581283515934662
0.707	0.18071662457688323
0.708	0.21047251981529233
0.709	0.2514509887168118
0.71	0.3114765175363916
0.711	0.40784958677583555
0.712	0.5879210157671886
0.713	1.0444158896306204
0.714	400.51540535180998
0.715	1.9714971421303429
0.716	0.8138591000689342
0.717	0.5146421186554271
0.718	0.3772894570612926
0.719	0.2984204105567163
0.72	0.24723864112025914
0.721	0.21134155399038002
0.722	0.18477186028229056
0.723	0.1643121572880438
0.724	0.1480721985140335
0.725	0.1348685610339425
0.726	0.12392251010892863
0.727	0.11470063715886238
0.728	0.1068253059293736
0.729	0.10002165837344933
0.73	0.09408487676056466
0.731	0.08885920992203528
0.732	0.08422411039501257
0.734	0.07636582444700987
0.736	0.069956264470314
0.738	0.06462861996480847
0.74	0.06013027542675699
0.742	0.0562815804515127
0.744	0.05295127998851798
0.746	0.05004124628736448
0.748	0.04747664800212045
0.751	0.0441538943856203
0.754	0.041333358998405435
0.757	0.038909180685575175
0.76	0.036803297279814205
0.763	0.0349568827806341
0.767	0.03282202289535432
0.771	0.030988395676559224
0.775	0.029396446435744045
0.78	0.027679118732773917
0.785	0.026204707218326552
0.791	0.024689171023024974
0.797	0.023393554069802997
0.804	0.022101077005503705
0.811	0.020995730444834233
0.819	0.01991346732663701
0.828	0.018877972429064672
0.838	0.01790415187240157
0.849	0.01699995925867443
0.862	0.016105012630639282
0.877	0.015250101151771146
0.894	0.014453745395889363
0.913	0.013724963996452325
0.935	0.01303788329354591
0.961	0.012383876095310116
0.992	0.011764160515051204
1.0	0.011626066002008297
