p	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.00000	2.26506	1.69953	2.3611927032470703	2.36395	2.15189	2.08633	2.38055	1.63060	2.40880	2.07298	2.36089	2.07243	2.35080	2.49807	1.85795	1.80528	1.23428	2.05886	1.71961	2.21778	2.06655	1.86617	1.29764	1.83605	2.31584	2.32574	2.12981	2.06246	2.17763	2.22454	1.98707	1.74504	2.10403	2.19029	1.61633	2.17129	2.15923	2.23625	1.98647	1.76001	1.99506	1.81364	2.08924	2.30958	2.24556	2.09752	2.42195	2.34236	1.70719	2.31871	2.01779	2.03119	1.37604
0.01010	2.34784	1.69840	2.3543598651885986	2.36826	2.18366	2.11546	2.35308	1.59850	2.40341	2.09406	2.36590	2.10325	2.32857	2.50653	1.90165	1.83149	1.31032	2.07778	1.70522	2.23870	2.01728	1.85269	1.31443	1.87225	2.33111	2.28639	2.12811	2.07321	2.20721	2.24498	2.04787	1.75617	2.14713	2.20719	1.63704	2.19735	2.16618	2.25214	2.01933	1.74323	2.01470	1.83774	2.11887	2.30473	2.24020	2.14435	2.40178	2.28312	1.74842	2.32226	2.05359	2.06161	1.35692
0.02020	2.44079	1.77557	2.3877201080322266	2.38033	2.27301	2.19210	2.38753	1.71550	2.44762	2.18203	2.41588	2.20346	2.34786	2.51554	2.03416	1.96401	1.56341	2.16508	1.77845	2.29262	2.01738	1.87754	1.45941	1.99016	2.38941	2.29391	2.16272	2.16056	2.27722	2.30926	2.19460	1.86014	2.22016	2.28314	1.74969	2.26381	2.24237	2.32060	2.12306	1.78638	2.11712	1.98245	2.21415	2.34236	2.26480	2.23097	2.43324	2.23156	1.92517	2.36923	2.16566	2.15375	1.45167
0.03030	2.53536	1.94242	2.4431772232055664	2.43917	2.36410	2.30729	2.45521	1.94691	2.48218	2.29697	2.46658	2.30932	2.42759	2.54220	2.17751	2.11027	1.87898	2.27994	1.92411	2.37028	2.13916	2.00645	1.73829	2.16390	2.44184	2.37387	2.27463	2.29036	2.35794	2.39527	2.33109	2.02260	2.32997	2.38061	1.92992	2.33929	2.34312	2.38950	2.24300	1.94381	2.28946	2.13487	2.30456	2.41470	2.34938	2.31790	2.49864	2.27955	2.18188	2.42879	2.28003	2.26927	1.64812
0.04040	2.62638	2.13994	2.5085363388061523	2.51180	2.42789	2.39501	2.51119	2.12863	2.51096	2.38168	2.50827	2.39458	2.50333	2.57628	2.28569	2.25821	2.14119	2.37206	2.08403	2.44170	2.15964	2.16861	1.96715	2.29001	2.50331	2.46203	2.37923	2.38663	2.43480	2.46040	2.42041	2.18878	2.41169	2.45560	2.11041	2.41280	2.42676	2.45101	2.33779	2.43336	2.42525	2.26484	2.38539	2.48506	2.43532	2.39111	2.54890	2.37485	2.38755	2.48528	2.37370	2.37602	1.83586
0.05051	2.71474	2.30319	2.567291259765625	2.56986	2.50315	2.48268	2.56439	2.29574	2.55181	2.46376	2.57217	2.46487	2.56682	2.62959	2.39063	2.36717	2.33419	2.46430	2.21437	2.49712	2.30401	2.30837	2.13159	2.40780	2.56701	2.60572	2.46739	2.46708	2.49606	2.53627	2.52370	2.32645	2.49044	2.54131	2.27391	2.47128	2.58754	2.51889	2.43809	2.50450	2.54248	2.37618	2.46496	2.55636	2.51310	2.46454	2.55401	2.47346	2.52326	2.54320	2.44478	2.47153	2.04391
0.06061	2.80559	2.41707	2.6298720836639404	2.62915	2.57694	2.55808	2.61675	2.41764	2.60116	2.53717	2.62928	2.53901	2.62698	2.67507	2.47527	2.46655	2.48521	2.54059	2.35013	2.55608	2.36964	2.43049	2.28798	2.50910	2.62676	2.65139	2.54590	2.54187	2.56063	2.60495	2.60428	2.44536	2.56522	2.61559	2.39193	2.53502	2.62897	2.58157	2.52543	2.59100	2.64688	2.46078	2.53275	2.62202	2.59107	2.53620	2.60999	2.57562	2.63522	2.59865	2.66603	2.55081	2.41196
0.07071	2.89723	2.52159	2.717707395553589	2.73958	2.64918	2.63722	2.68045	2.52232	2.66054	2.60915	2.72286	2.60891	2.67784	2.72080	2.55706	2.55083	2.59963	2.61045	2.46780	2.61450	2.49808	2.53341	2.42517	2.59546	2.70819	2.67878	2.61894	2.61195	2.62809	2.67627	2.69572	2.54804	2.64374	2.67850	2.50172	2.59817	2.65765	2.63963	2.60186	2.70300	2.74545	2.53514	2.60191	2.71736	2.66486	2.60165	2.64116	2.65044	2.74208	2.66045	2.69730	2.62622	2.51506
0.08081	2.99328	2.60205	2.8347089290618896	2.78750	2.72389	2.70707	2.77020	2.61078	2.72749	2.67858	2.85597	2.68985	2.83008	2.64667	2.62856	2.62813	2.69489	2.65300	2.57523	2.64505	2.58474	2.61630	2.54230	2.67031	2.85657	2.69581	2.69050	2.67436	2.69139	2.75651	2.89446	2.63717	2.72577	2.73984	2.59516	2.66005	2.78795	2.70851	2.66831	2.80181	2.85960	2.60251	2.67398	2.79243	2.74208	2.67041	2.72208	2.72858	2.85161	2.74934	2.83283	2.73296	2.59788
0.09091	3.09093	2.67969	2.9600894451141357	2.93217	2.77850	2.81979	2.86308	2.76582	2.79931	2.75608	2.96110	2.75783	2.89309	2.74235	2.69195	2.78131	2.77886	2.74848	2.61085	2.70261	2.66301	2.65489	2.65657	2.73826	2.96677	2.84795	2.77502	2.73268	2.78819	2.81600	3.05401	2.72259	2.81895	2.78451	2.68316	2.73473	2.90568	2.75428	2.75357	2.95361	2.97699	2.66161	2.75141	2.99682	2.82463	2.71971	2.83892	2.79209	2.95998	2.81725	2.88612	2.72571	2.68154
