p	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.00000	2.04449	1.50238	2.520380735397339	2.51943	2.14228	2.16110	2.53352	1.47714	2.52895	1.89965	2.46787	2.09199	2.48701	2.58668	1.78587	1.73143	0.93743	2.00364	1.52497	2.28064	2.11997	1.75929	1.04683	1.73744	2.38521	2.65519	1.99337	2.07367	2.26963	2.30306	2.02170	1.64850	1.94971	2.17661	1.38892	2.27871	2.18083	2.36532	2.00337	1.61369	1.96814	1.70152	2.14558	2.44452	2.27777	2.14056	2.54753	2.50342	1.50519	2.40995	2.35662	2.02267	1.07049
0.01010	2.05568	1.57699	2.4770452976226807	2.47635	2.23409	2.15784	2.48329	1.42416	2.53604	2.08438	2.48697	2.12869	2.45697	2.67247	1.82842	1.74835	0.95534	2.07336	1.59262	2.28886	2.01728	1.73727	0.99308	1.76133	2.43380	2.37837	2.10913	2.08072	2.29005	2.32112	2.07659	1.60966	2.14791	2.28355	1.43763	2.25327	2.24166	2.33091	2.00964	1.66075	1.99176	1.75583	2.17362	2.40562	2.29418	2.18019	2.53614	2.38692	1.59247	2.42138	2.09238	2.04016	1.11126
0.02020	2.13918	1.63010	2.4997758865356445	2.52602	2.32639	2.27034	2.49803	1.56543	2.55617	2.17940	2.51552	2.23593	2.45700	2.67588	1.97534	1.91119	1.26182	2.16701	1.63728	2.34945	1.94658	1.74993	1.12922	1.91512	2.49426	2.35696	2.13840	2.18343	2.36188	2.38767	2.25182	1.71280	2.26484	2.33068	1.54120	2.32425	2.33502	2.39612	2.11925	1.72235	2.17074	1.92213	2.27017	2.44132	2.29426	2.27224	2.57592	2.28162	1.91124	2.45792	2.23077	2.15541	1.20542
0.03030	2.27271	1.83630	2.548652410507202	2.55584	2.42727	2.37307	2.52107	1.84029	2.58115	2.32194	2.55525	2.34833	2.54792	2.68818	2.15341	2.09243	1.70447	2.31206	1.78004	2.43194	2.09644	1.91643	1.43224	2.13184	2.54526	2.45315	2.29243	2.32628	2.43071	2.46277	2.39855	1.94068	2.39470	2.45495	1.80036	2.38654	2.43709	2.44057	2.25512	1.85262	2.40953	2.11359	2.36215	2.51184	2.41567	2.35973	2.62094	2.31212	2.31091	2.51606	2.34276	2.31038	1.36621
0.04040	2.39839	2.08881	2.5996222496032715	2.61687	2.49021	2.46613	2.59691	2.09260	2.59948	2.42106	2.58305	2.43608	2.63201	2.67024	2.28043	2.24755	2.05469	2.41959	1.98532	2.49418	2.12183	2.12337	1.71295	2.29540	2.60088	2.56245	2.41776	2.42378	2.49843	2.53891	2.52332	2.15088	2.46954	2.53913	2.04089	2.44858	2.52752	2.51388	2.36461	2.50093	2.56266	2.25339	2.43972	2.58032	2.50025	2.42471	2.67215	2.42214	2.52632	2.56697	2.44204	2.43538	1.63225
0.05051	2.50762	2.27051	2.682267904281616	2.68210	2.56095	2.54977	2.64124	2.25803	2.59384	2.50304	2.63982	2.50983	2.74150	2.73518	2.37931	2.37398	2.29973	2.50998	2.16172	2.54757	2.27190	2.29587	1.95753	2.42983	2.65185	2.70178	2.50955	2.50386	2.55696	2.61031	2.67020	2.31671	2.54302	2.62439	2.21919	2.50524	2.63143	2.55866	2.47233	2.60430	2.68382	2.36038	2.50693	2.68015	2.58357	2.48691	2.62130	2.53210	2.73101	2.61994	2.50087	2.52822	2.22343
0.06061	2.60498	2.41019	2.7939960956573486	2.69132	2.64484	2.63374	2.67102	2.41389	2.64140	2.58234	2.79510	2.57492	2.72196	2.73092	2.47824	2.47980	2.52256	2.58795	2.31731	2.60577	2.33092	2.43998	2.14316	2.54572	2.83109	2.76116	2.60350	2.57787	2.64643	2.68854	2.80925	2.45165	2.62797	2.69905	2.37659	2.55946	2.64968	2.60025	2.56445	2.74336	2.82143	2.45290	2.57471	2.79387	2.66137	2.54884	2.78444	2.65275	2.82502	2.67366	2.71550	2.62439	2.37687
0.07071	2.70146	2.51479	2.9040188789367676	2.90326	2.71025	2.80790	2.82314	2.52564	2.69798	2.66063	2.90384	2.66029	2.81456	2.80024	2.56678	2.61129	2.66920	2.64909	2.44497	2.64097	2.47951	2.56245	2.32625	2.64494	2.97318	2.90562	2.69306	2.65465	2.68307	2.74308	2.98232	2.57049	2.72921	2.77608	2.50041	2.61317	2.76388	2.68647	2.65253	2.86173	2.96420	2.51638	2.64888	2.87706	2.74863	2.60083	2.70073	2.72376	2.98885	2.65361	2.79375	2.66602	2.49819
0.08081	2.81250	2.61769	3.0924758911132812	3.06543	2.81013	2.79973	2.91749	2.64151	2.65107	2.73135	3.06355	2.71721	2.94786	3.12953	2.62812	2.65617	2.78105	2.69782	2.56426	2.66615	2.59379	2.64708	2.47264	2.72054	3.09095	2.92642	2.78215	2.70839	2.76521	2.84126	3.17881	2.70060	2.83579	2.82782	2.60509	2.64450	3.03452	2.72767	2.73710	3.10618	3.11963	2.58374	2.73448	3.02014	2.83333	2.63410	2.98462	2.81547	3.11549	2.86739	3.00526	2.87721	2.61908
0.09091	2.92900	2.68686	3.2420125007629395	3.19581	2.88396	3.12365	3.02646	2.84148	2.90421	2.81376	3.19544	2.84777	3.00545	3.28134	2.68792	2.79241	2.88577	2.69719	2.77019	2.69273	2.67731	2.71547	2.63651	2.79005	3.22466	3.08484	2.86697	2.76000	2.92373	2.91435	3.32452	2.81773	2.95250	2.88087	2.71099	2.66387	3.18722	2.80023	2.88713	3.25487	3.26124	2.62615	2.86631	3.28524	2.91852	2.63776	3.11536	2.90036	3.24058	2.95929	3.12314	3.07712	2.71938
0.10101	3.05619	2.81054	3.3578429222106934	3.31753	2.96351	3.31340	3.13915	2.89193	3.00080	2.91018	3.33105	2.96451	3.31809	3.35579	2.76862	2.99123	2.98712	2.95038	2.98999	2.66665	2.81063	2.80975	2.84929	2.86298	3.34992	3.20855	2.95011	2.83916	3.13723	2.99771	3.50621	2.96413	3.07253	2.94002	2.87778	2.91096	3.32059	2.89597	3.05307	3.39331	3.40367	2.63866	3.00825	3.45925	3.01354	2.70387	3.25174	2.99361	3.37632	3.04519	3.23261	3.24842	2.82471
