eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	3.01839	2.76841	3.26837	3.05830	2.98421	3.04818	3.02460	2.97614	3.04132	2.93677	2.98926	3.16250	3.06323	2.97733	2.85354	2.97765	3.12716	3.01381	2.96144	2.94478	2.95590	3.07074	3.37060	3.01074	3.03869	2.93742	3.51372	2.99650	3.05211	2.89989	3.00280	3.14024	2.80568	2.83033	3.07555	3.07719	3.02520	3.06068	3.08380	3.29122	2.97935	2.93458	2.92422	3.11847	2.89144	2.83312	2.95138	2.92785	3.03641	2.94702	2.82364	3.06218	3.11057
0.0000112	3.01896	2.77189	3.26602	3.05400	2.99144	3.05001	3.02510	2.96605	3.05376	2.95785	2.98857	3.16239	3.06324	2.99821	2.85258	2.95739	3.12876	2.99304	2.95532	2.96795	2.97145	3.07121	3.37173	3.00997	3.03822	2.95788	3.51622	2.99640	3.05013	2.88341	3.00439	3.11429	2.80864	2.84905	3.05642	3.06577	3.02569	3.06919	3.06386	3.29219	2.98102	2.95529	2.94728	3.12170	2.91471	2.81790	2.96963	2.90231	3.03491	2.92666	2.82788	3.06151	3.10527
0.0000126	3.02108	2.77297	3.26920	3.06838	2.96245	3.03576	3.04250	2.97917	3.04348	2.94064	3.00609	3.16229	3.06544	2.98154	2.90688	2.97683	3.12670	3.01276	2.95838	2.94788	2.95849	3.07230	3.37297	3.00893	3.02271	2.94180	3.51911	2.98550	3.05883	2.90116	2.99628	3.13906	2.82056	2.83667	3.07364	3.07721	3.02708	3.06204	3.08126	3.29330	2.98294	2.93797	2.92768	3.12933	2.89637	2.83527	2.95556	2.92583	3.03762	2.94669	2.81864	3.08334	3.11091
0.0000142	3.02214	2.77258	3.27170	3.06400	2.98642	3.05289	3.04387	2.96869	3.04361	2.94101	2.98933	3.16213	3.08638	3.00134	2.87037	2.97848	3.12745	3.01432	2.96066	2.94712	2.95871	3.07311	3.37429	2.98990	3.03918	2.94259	3.52444	2.99975	3.05813	2.90364	3.00523	3.14128	2.81511	2.83880	3.07414	3.07841	3.02668	3.06241	3.08196	3.29448	2.98500	2.93806	2.92685	3.12763	2.89718	2.83797	2.95515	2.92726	3.03670	2.94860	2.83257	3.06155	3.11225
0.0000159	3.02413	2.77710	3.27116	3.06510	2.98644	3.03598	3.04574	2.98372	3.04398	2.94131	3.00895	3.16205	3.06302	2.98333	2.92973	2.98051	3.12518	3.01629	2.96031	2.94751	2.95851	3.07417	3.37580	3.01205	3.02297	2.94362	3.52853	2.98719	3.06107	2.90639	3.00234	3.14175	2.82754	2.84063	3.07571	3.08047	3.04457	3.06307	3.06330	3.29588	2.98743	2.93821	2.92674	3.12519	2.89804	2.84070	2.97338	2.92912	3.03319	2.95100	2.81657	3.08777	3.11455
0.0000179	3.02578	2.78134	3.27021	3.07020	2.98900	3.05342	3.02660	2.98485	3.05847	2.96500	2.98955	3.16190	3.06312	3.00689	2.93386	2.98218	3.12248	2.99491	2.96013	2.97322	2.97643	3.07550	3.37740	2.99103	3.04248	2.96650	3.53312	2.98904	3.06103	2.88979	2.99877	3.11203	2.82183	2.86117	3.05613	3.06965	3.04601	3.07380	3.08416	3.29740	2.99006	2.96141	2.95218	3.12802	2.92411	2.82552	2.97516	2.90291	3.03629	2.93008	2.82848	3.06652	3.10919
0.0000201	3.02727	2.78145	3.27309	3.06401	2.99300	3.04079	3.04784	2.98705	3.04724	2.94545	3.01167	3.16186	3.06554	2.98783	2.92374	2.96238	3.12833	3.01866	2.97301	2.95089	2.96169	3.07688	3.37921	3.01361	3.02578	2.94848	3.53973	3.00686	3.06274	2.91196	3.00731	3.14594	2.83670	2.84661	3.07681	3.08444	3.03005	3.06681	3.06418	3.29920	2.99314	2.94201	2.92996	3.11926	2.90309	2.84739	2.96022	2.93159	3.03878	2.95498	2.84340	3.09013	3.11533
0.0000226	3.02990	2.78443	3.27538	3.06282	2.99325	3.05880	3.03085	2.98023	3.04973	2.94846	2.99624	3.16175	3.06818	2.99135	2.93752	2.98657	3.12159	3.02120	2.97155	2.95355	2.96400	3.07830	3.38113	2.99587	3.04592	2.95197	3.54697	2.99470	3.06631	2.91596	3.01447	3.14884	2.83514	2.85107	3.07884	3.08783	3.03313	3.07888	3.08631	3.30115	2.99648	2.94475	2.93226	3.12208	2.90661	2.85166	2.98089	2.93396	3.02361	2.95812	2.85256	3.08313	3.11863
0.0000254	3.03219	2.78654	3.27784	3.07159	2.97832	3.03987	3.05191	2.99617	3.05392	2.95364	3.01772	3.16176	3.09260	2.99663	2.94862	2.96912	3.10649	3.02316	2.96293	2.95735	2.96861	3.07996	3.38330	3.01731	3.03182	2.95729	3.55266	3.01413	3.06592	2.91942	2.95591	3.15034	2.84849	2.85844	3.07981	3.09021	3.05251	3.07356	3.06850	3.30343	3.00037	2.94964	2.93675	3.13225	2.91242	2.85595	2.96701	2.93529	3.03971	2.96034	2.84901	3.09497	3.12245
0.0000285	3.03464	2.79327	3.27601	3.05236	3.00186	3.04521	3.05326	2.98703	3.06756	2.97628	3.01970	3.16188	3.09384	2.99954	2.95603	2.97028	3.11717	3.00415	2.97507	2.98095	2.98581	3.08200	3.38569	3.01845	3.03351	2.97957	3.55981	3.00309	3.07278	2.90497	2.99519	3.12239	2.85461	2.88000	3.06258	3.08162	3.05423	3.07542	3.06898	3.30604	3.00477	2.97155	2.96053	3.09077	2.93785	2.84254	2.98529	2.91087	3.03860	2.94177	2.84581	3.09472	3.11785
