eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.01474	0.83870	3.18580	1.91427	3.16642	0.74633	2.23123	2.10290	1.61944	1.56304	2.49655	3.02970	1.06068	1.97741	1.56956	2.73219	1.71007	2.47225	2.38264	1.19472	1.95490	2.71090	1.33034	1.74871	2.91785	2.90163	2.42582	1.85319	1.56154	2.18163	4.47638	0.68153	1.64855	0.34020	0.84896	0.48218	3.47008	3.36026	2.29713	0.97615	2.47606	3.51430	1.36866	1.06943	0.71370	1.40121	1.65882	2.15432	3.42564	2.91177	2.67547	1.57639	1.65401
0.0000112	2.02421	0.79253	3.19239	2.03884	2.82697	0.40762	2.22670	2.06493	1.76578	1.64387	2.40374	3.18727	0.92796	2.53082	1.41138	2.74815	1.94754	2.37353	2.41164	1.30577	1.98226	2.74740	1.34674	1.64118	2.98975	3.09503	2.47484	1.80340	1.28269	1.98543	4.59242	0.75763	1.52294	0.31899	0.79640	0.49100	3.39108	3.23854	2.48918	1.10812	2.31798	3.29482	1.53558	1.09150	0.72005	1.43241	1.93001	2.11092	3.59618	2.86285	2.65200	1.51642	1.87230
0.0000126	2.02457	0.82893	3.18929	1.93557	2.81850	0.63524	2.34119	2.07620	1.78544	1.53574	2.54081	3.01996	1.17097	2.09161	1.60257	2.66160	2.01147	2.44115	2.26732	1.29423	2.18087	3.17340	1.36634	1.55441	2.81079	3.17369	2.58055	1.69575	1.22484	2.21749	4.05660	0.82923	1.70665	0.37363	0.74421	0.47679	3.37930	3.32966	2.26191	1.01473	2.50339	3.33851	1.56145	1.06097	0.82625	1.39850	1.74766	1.96457	3.69735	2.90487	2.61077	1.32520	1.90844
0.0000142	2.03758	0.79892	3.14525	2.07006	2.96170	0.61295	2.32462	1.99502	1.74929	1.58640	2.32866	2.93650	1.02375	2.06705	1.63057	2.74100	1.48322	2.40948	2.31447	1.31174	2.12529	3.16268	1.65192	1.62214	2.98257	3.02898	2.27039	1.69419	2.04348	2.18385	4.58469	0.80095	1.60946	0.28098	0.62021	0.49142	3.04139	3.21762	2.36707	1.13235	2.27909	3.26509	1.51462	1.12470	0.78062	1.32997	1.94737	2.05269	3.70263	3.14331	2.63974	1.55977	2.08147
0.0000159	2.01820	0.84723	3.10701	2.05554	2.66466	0.73022	2.43495	2.12610	1.62370	1.64132	2.26124	2.84127	1.02680	2.00494	1.74547	2.66890	1.81555	2.38786	2.38653	1.33519	2.15373	2.94095	1.42788	1.54881	2.85641	3.21142	2.59278	1.87950	1.92544	2.11296	4.26054	0.87179	1.44675	0.37386	0.84742	0.56970	3.05217	3.11505	2.35032	0.84544	2.17222	3.39515	1.59300	1.10228	0.82218	1.32613	1.92343	1.89874	3.54794	3.10611	2.58844	1.51436	1.78686
0.0000179	2.02308	0.84688	3.24920	2.02810	2.95403	0.62922	2.19180	2.06812	1.68549	1.62583	2.64410	2.83805	1.01890	1.97193	1.67344	2.75242	1.67102	2.28573	2.35657	1.27312	1.90158	3.23083	1.60214	1.45350	2.90785	3.31733	2.40446	1.75151	1.73649	2.15972	4.07630	1.02518	1.33922	0.28533	0.77782	0.47220	3.24163	3.44173	2.25884	0.85334	2.33572	3.35902	1.61294	1.30423	0.78879	1.38613	1.78299	1.91888	3.58801	3.03274	2.63352	1.42324	2.08318
0.0000201	2.02550	0.78460	3.21072	1.83944	2.75531	0.69611	2.15546	1.82450	1.65526	1.62988	2.53486	3.07515	1.05309	2.11415	1.49618	2.77041	1.49407	2.33651	2.25780	1.32655	1.97934	3.27001	1.69246	1.54321	2.97416	3.09147	2.39284	1.83769	2.09577	2.19321	3.93258	0.78543	1.77364	0.39180	0.68871	0.63645	3.48266	3.20413	2.23378	1.04987	2.18824	3.37679	1.49003	1.15832	0.77707	1.37832	1.82136	1.97935	3.67052	3.04307	2.61093	1.40266	2.11447
0.0000226	2.01937	0.95136	3.18334	1.93410	2.79234	0.60375	2.45255	2.10742	1.69857	1.55862	2.21517	2.89017	0.97086	1.92195	1.67359	2.69249	1.68996	2.42902	2.60435	1.30797	1.92503	3.46787	1.73156	1.58329	2.69151	3.24234	2.48425	1.91018	1.71085	2.20562	4.53157	0.93355	1.50193	0.32681	0.70109	0.52004	3.29053	3.17317	2.32589	0.95334	2.20200	3.23025	1.51119	1.20817	0.97811	1.09260	1.86149	1.98912	3.17813	3.04673	2.58567	1.38206	1.94985
0.0000254	2.02545	0.96236	3.17943	1.93536	2.67882	0.56097	2.49320	2.21420	1.74087	1.52714	1.96363	2.97260	1.22913	2.26576	1.52150	2.65789	1.90256	2.17402	2.31034	1.23419	2.14656	2.63061	1.26475	1.68295	2.81971	3.16901	2.29964	1.95875	1.65140	2.06108	4.30981	0.92878	1.82905	0.42346	0.74151	0.76390	3.45005	3.27319	2.22558	1.09726	2.15485	3.40910	1.59595	1.35804	0.96609	1.20985	1.84516	1.99426	3.63814	2.99334	2.61842	1.46342	1.91644
0.0000285	2.01372	1.08410	3.01048	1.89699	2.72970	0.60021	2.28066	2.41300	1.51297	1.71931	2.25166	2.72972	1.20594	2.06630	1.61073	2.68636	1.90512	2.23297	2.41833	1.34604	1.93041	2.58706	1.74843	1.70984	2.99428	3.15622	2.43179	1.81026	1.26288	2.21482	4.18877	1.03095	1.90342	0.33609	0.73423	0.54888	3.29665	2.93617	2.22870	1.10780	2.20712	3.28343	1.74834	1.24632	1.09001	1.26653	1.75979	1.92953	3.47314	2.90317	2.55449	1.62541	1.83515
