I	POP	POPCI	NOPOP	NOPOPCI	POPS	POPCIS	NOPOPS	NOPOPCIS
0	-628.7233338	345.9818849	-665.5046692	506.3961257	292.0712349	473.5256694	266.6300878	620.0002181
10	-78.7556534	389.5267432	-93.5676743	877.4077585	620.6195218	492.0850715	578.922464	607.428182
20	-121.1080918	264.725635	137.8470642	450.7272391	847.0042714	527.7429391	847.2052452	538.7159433
30	783.3737579	764.968627	1017.456183	946.7788916	1100.825645	605.1574783	997.5389422	563.3554576
40	1087.843462	620.2983144	299.3292343	427.2328861	1392.694026	620.9872686	1187.293326	557.3206147
50	709.7972687	455.652812	904.2203888	511.4584073	1696.907428	626.9309312	1569.96916	659.3974222
60	1342.566388	457.3382976	1208.249588	430.9639095	2082.980274	697.1901206	1902.942867	722.9443627
70	1279.552844	603.4739489	1516.129013	465.1343262	2369.778249	718.6091638	2091.346191	811.8228165
80	1401.820152	729.2128701	1039.849246	598.5643249	2764.040413	785.6310308	2270.811262	898.7983992
90	2534.584041	859.9473685	2155.982483	910.5698341	3139.153306	818.9372879	2505.346843	962.8455366
100	2913.123877	655.9602902	2595.384241	1039.693731	3261.676868	766.0315258	2620.340145	949.5766058
110	3026.234344	877.2079482	2902.062628	892.7400504	3290.078076	808.4985169	2637.300907	897.8978684
120	3063.354236	585.852557	2338.669537	964.2346325	3279.701901	763.0156762	2724.626361	859.5405672
130	3645.12583	1005.605151	2592.919438	986.9878223	3329.612277	773.5003001	2852.723815	831.3678756
140	3652.497507	929.0504125	2447.062729	982.8471497	3336.30434	747.4210781	2855.655855	819.3284814
150	3269.725415	542.5127964	2845.942298	830.9562488	3178.6902	742.0922921	3003.59164	842.3504674
160	3083.531125	910.7622367	2697.14881	729.6213066	3119.313237	811.3527291	2857.285229	818.2609207
170	2963.97729	604.3109037	3426.015357	662.5962431	3120.51891	816.1582809	2861.310501	842.026702
180	3362.816492	648.7603007	3107.254257	795.198483	3250.137266	823.065292	2800.552332	881.5878198
190	3685.278211	849.1298184	2610.511682	914.7514569	3263.580045	857.5481059	2707.911406	898.9355185
200	2706.812665	897.0776966	3334.677435	1120.979066	3127.612314	851.6036391	2760.009295	869.4320939
210	2913.463641	958.0754188	1968.103833	686.4189685	3167.879162	838.1139443	2604.003596	818.285974
220	3090.765161	939.5955471	2721.300439	872.2159945	3184.461895	809.0262376	2794.933292	861.0366493
230	3741.687427	645.7529706	3061.466345	899.9629496	3346.361179	728.8853142	2695.088124	852.706116
240	3443.473166	855.6571837	2551.408704	899.2846754	3241.029929	751.2105556	2698.766474	860.7989594
250	2869.471826	813.4630179	2923.099011	737.7309097	3233.182466	736.9499113	2834.696426	855.0402219
260	2948.413748	816.1395275	2398.643243	814.1023461	3290.795985	722.0324235	2900.323222	849.3720059
270	3012.96004	783.549179	3113.682007	942.9230203	3315.442189	714.6424019	3020.910725	826.8989906
280	4062.160864	458.7500067	2122.229434	822.232795	3369.523786	760.2133149	3176.223136	836.0769821
