p	poptd_err	td_err	remap_p
0.0	0.0024918604	0.002019562	0.0
0.013513514	0.0024586434	0.0020039303	0.01333333
0.027027028	0.0024593838	0.0019884668	0.02666666
0.040540542	0.0024393592	0.0019695489	0.040000007
0.054054055	0.0024207137	0.001955729	0.05333334
0.06756757	0.002397939	0.0019349997	0.06666667
0.081081085	0.0023787422	0.0019211803	0.08
0.0945946	0.0023557616	0.0019006198	0.09333335
0.10810811	0.0023327812	0.0018815344	0.10666668
0.12162162	0.0023075994	0.00185752	0.120000005
0.13513514	0.002278221	0.001836792	0.13333334
0.14864865	0.0022552416	0.0018126097	0.14666668
0.16216217	0.0022238689	0.0017884279	0.16
0.17567568	0.002194492	0.0017644153	0.17333333
0.1891892	0.0021651154	0.0017402346	0.18666667
0.2027027	0.002135946	0.0017109573	0.20000002
0.21621622	0.0021001727	0.0016816808	0.21333335
0.22972974	0.0020646069	0.001652405	0.22666669
0.24324325	0.0020228508	0.001617865	0.24000001
0.25675675	0.0019808898	0.0015833264	0.25333333
0.2702703	0.0019389302	0.0015436931	0.26666668
0.2837838	0.0018971786	0.0015040617	0.28
0.2972973	0.0018510267	0.0014662435	0.29333335
0.3108108	0.0017966926	0.001421353	0.30666667
0.32432434	0.0017443564	0.0013731815	0.32
0.33783785	0.0016836339	0.0013232039	0.33333334
0.35135135	0.0016187221	0.0012646858	0.34666666
0.3648649	0.0015538166	0.0012060072	0.36
0.3783784	0.0014763386	0.0011422462	0.37333333
0.3918919	0.001399079	0.0010752167	0.38666672
0.4054054	0.0013152364	0.0010011382	0.40000004
0.41891894	0.0012212474	0.0009185518	0.41333336
0.43243244	0.0011209035	0.0008309242	0.42666668
0.44594595	0.0010080477	0.0007328675	0.44
0.45945948	0.00088272657	0.00062642334	0.45333338
0.472973	0.0007533813	0.00050487596	0.4666667
0.4864865	0.0005995251	0.0003687078	0.48000002
0.5	0.00042776123	0.00021644431	0.49333328
0.5135135	0.00024492934	7.713147e-05	0.50662255
0.527027	9.011887e-05	0.00014068898	0.51316947
0.5405406	0.000100016594	0.00035360386	0.5121595
0.5540541	0.00013122772	0.00061636826	0.5120858
0.5675676	9.6222444e-05	0.0009291465	0.5120938
0.5810811	9.516262e-05	0.0013043849	0.5120658
0.5945946	0.00013385972	0.0017697656	0.5120645
0.6081081	0.0001427445	0.0021900013	0.5120355
0.6216216	0.00013784083	0.002669328	0.51217294
0.6351352	0.00013728555	0.0030632387	0.5119969
0.6486487	0.00013364958	0.0032143826	0.5118658
0.6621622	0.00013285456	0.002692509	0.5119995
0.6756757	0.0001302344	0.0005738999	0.51229084
0.6891892	0.00012679146	0.005082915	0.5121522
0.7027027	0.00012317437	0.01835504	0.5125505
0.7162162	0.00012194394	0.047619674	0.51277155
0.7297298	0.000121585246	0.11028593	0.51277673
0.7432433	0.0001182376	0.24170324	0.51293635
0.7567568	0.00011678193	0.51417327	0.512896
0.7702703	0.00011523269	1.074791	0.5136941
0.7837838	0.000113554546	2.222306	0.51393616
0.7972973	0.0001113782	4.5626273	0.51385546
0.8108108	0.000109449466	9.323451	0.5143675
0.82432437	0.00010908197	18.989372	0.51507396
0.8378379	0.00010694171	38.586346	0.5148272
0.8513514	0.00010549835	78.27261	0.5150632
0.8648649	0.00010591135	158.57362	0.5152792
0.8783784	0.00010319499	320.94803	0.5154511
0.8918919	0.000100857294	649.06903	0.51520884
0.9054054	9.980781e-05	1311.8463	0.5153344
0.91891897	0.00010102671	2650.0747	0.541394
0.9324325	0.00011097016	5351.0747	0.5750319
0.945946	0.00012899374	10801.435	0.6152203
0.9594595	0.00016121221	21796.535	0.6585777
0.972973	0.00020390975	43972.375	0.7105362
0.9864865	0.00030036157	88688.8	0.76893663
1.0	0.0035447287	178841.53	0.8516754
